Address;Text;Stars;Date
Литейный проспект, 43;Магазин новый, поэтому чистый и аккуратный. Ассортимент вполне удовлетворяет самые разнообразные потребности в еде. Продукты в целом качественные. По акциям вполне неплохо можно экономить. В зимне-весенний период выбор овощей не очень хороший, да и качество не очень то, а цена высокая. Персонал в целом вежлив. Но вот сегодня попал на всего одну работающую кассу. Я был 8 в очереди, за мной ещё 4 человека стояло. Ни одну дополнительную кассу естественно не открыли. Народ не возмущался. Я тоже молчал так как вообще ни на какие возмущения сил в конце рабочего дня небыло.;0;11 апреля 2016, отредактирован
Достоевского, 30/23;Отличный магаз, всё нравится.;5;5 июля 2023
Достоевского, 30/23;Купила в этом магазине лимон, принесла домой, разрезали, а он гнилой. Очень много просроченной продукции, особенно овощей. Не рекомендую.;1;1 июля 2023
Достоевского, 30/23;Хороший магазн приветливый персонал, цены топ)));4;31 мая 2023
Достоевского, 30/23;Булки, кофе, самообслуживание - уже хорошо.;4;23 августа 2022, отредактирован
Достоевского, 30/23;2 этажа пятерочки;5;30 марта 2022
Достоевского, 30/23;На ценниках цены одни, на кассе пробивают другие (без скидки, выше) когда заметишь уже потом, говорят надо было сразу смотреть… а как уследишь в потоке очереди, когда они скандируют со скоростью пулемета? 🤷🏻 обман и хамство (((;1;23 октября 2021
Достоевского, 30/23;Сделали ремонт, стало уютно. Появилась выпечка, недорогая и достаточно вкусная. На остальное цены, конечно, жесть, накрутка практически до ста процентов доходит.;3;12 октября 2021
Достоевского, 30/23;Все хорошо, не мог понять где чай, консультанты все подсказали. Впринципе приветливые, скидки на самые нужные товары есть. Не выгнали меня с собакой;5;19 сентября 2021
Достоевского, 30/23;Кассир Курги Елена Владимировна (23.08.21 _ 16-50) - хамила, швыряла продукты в мою сторону(а это были овощи) и карту скидочную, в общем вела себя так, словно сегодня последний день работала. При этом я был в маске и поздоровался с женщиной, но видимо, высокий сервис обслуживания - это не про Питерские магазины.;1;23 августа 2021
Достоевского, 30/23;Ужасный магазин, просрочку встречаем регулярно, всегда приходится читать срок годности. С ценниками всегда непорядок - постоянно надо перепроверять, персонал регулярно старается подсунуть товары якобы по акции;1;8 августа 2021
Достоевского, 30/23;Воды нет! +33 на улице! Сетевой супермаркет, а воды нет, ни какой, ни с газом, ни без газа, нет ни литра. Одни сахарные лимонады и прочая гадость.;2;15 июля 2021
Достоевского, 30/23;Ужасный магазин, продавец нагрубила, не советую, хотя, думаю, все магазины этой сети не клиентоориентированные;1;4 июля 2021
Достоевского, 30/23;Второй этаж они себе позволить могут, а холодос для воды нет. Ну и нафиг такой магазин нужен?;1;1 июля 2021
Достоевского, 30/23;Второй этаж конечно хорошо, но если ты с ребёнком в коляске - это огромный минус. А так, хороший магазин, жаль что не круглосуточный как на Владимирской);4;29 сентября 2019
Достоевского, 30/23;Сняли номер и 5рочка находится за углом. Супер удобно и практично, работает до 23:00, что часто спасало.Закупились тут и мылом, и продуктами, и соками/водичкой, печеньками и тд Все здесь есть по первым и второстепенным нуждам.5рочка эта двухэтажная, не сразу поняли, тк скромная табличка показывает наверх и думаешь, что это пристрой чего то другого, а не 5рочки.;5;14 мая 2019
Загородный проспект, 35;У вас продавцы не знают чем заняться в 19:50 ? Одна не знает что покушать, другая вино покупает. Может лучше все вместе займутся ценниками! Где цена на товар? И вообще в большинстве организаций сотрудникам запрещают совершать покупки в рабочее время.+Через 2 дня зашёл и ничего не изменилось.;1;6 июля 2023, отредактирован
Загородный проспект, 35;Грязно, отвратительные продукты. Короче, ужас.;1;26 апреля 2023
Загородный проспект, 35;12.01.23.Классненько.Моя ошибка конечно, что не посмотрела, но, да;4;12 января 2023
Загородный проспект, 35;Цены в Пятерочке - топ!;5;6 ноября 2022
Загородный проспект, 35;Отлично все;5;15 октября 2022
Загородный проспект, 35;Все Гуд, быстро и вежливо;1;20 августа 2022
Загородный проспект, 35;Это просто ужас ,даже не описать словами;1;22 июля 2022
Загородный проспект, 35;Ужасное обслуживание кассиров, занимаются своими делами (13.05 девушка вызывала такси кому-то из своих друзей, хотя должна работать!);5;13 мая 2022
Загородный проспект, 35;Цены и продукция кеш;1;30 октября 2021
Загородный проспект, 35;Ужасное место, особенно, что касается доставки;5;19 октября 2021
Загородный проспект, 35;Больших очередей здесь никогда нет. Из Пятёрочки теперь можно забирать заказы с Озона. Недалеко от Витебского вокзала, можно по пути с дачи купить продукты.;3;23 апреля 2021
Загородный проспект, 35;Вроде нормальный магазин, но на полках иногда лежит просрочка, будьте внимательны :(;1;15 октября 2020, отредактирован
Загородный проспект, 35;"16.09.20 в 12.15 в магазине ""Пятёрочка"" Загородный проспект, 35, Санкт- Петербург. Опять стандартный (для магазинов этой сети) обман с ценником. Сайра ""Доброфлот"" на ценнике 95, в чек пробили 132 рубля. Им даже лень оправдываться (типа - не успели, забыли), как раньше. Проверяйте чеки, будьте внимательны! Здесь обманывают.";2;16 сентября 2020
Загородный проспект, 35;Поменяйте, пожалуйста, режим работы на всех платформах. Я сюда дошла, а магазин с 9 работает.;4;11 мая 2020
